village_id,name,state,lat,lon,elevation_m,temp_c,eto_mm_day,rainfall_jjas_mm,inside_validated_band
ga.geojson:0,Torxem,GA,15.77767,73.85729,33.3,26.66,2.62,3819.9,False
ga.geojson:1,Mopa,GA,15.75381,73.86046,99.0,26.23,2.6,4070.5,False
ga.geojson:2,Tamboxem,GA,15.75922,73.83956,16.9,26.76,2.63,3786.7,False
ga.geojson:3,Uguem,GA,15.7489,73.8406,69.5,26.42,2.61,4003.0,False
ga.geojson:4,Chandel,GA,15.73751,73.88853,88.2,25.91,2.93,4096.8,False
ga.geojson:5,Alorna,GA,15.72145,73.91233,42.0,26.21,2.95,3893.1,False
ga.geojson:6,Varconda,GA,15.72425,73.8461,88.4,26.3,2.6,3894.3,False
ga.geojson:7,Amberem,GA,15.73785,73.83126,61.3,26.47,2.61,3864.4,False
ga.geojson:8,Poroscodem,GA,15.73412,73.81483,13.2,26.79,2.63,3699.7,False
ga.geojson:9,Pernem(Rural),GA,15.71102,73.80394,78.4,26.36,2.61,3833.7,False
ga.geojson:10,Corgao,GA,15.70041,73.76046,40.7,26.61,2.62,3614.8,False
ga.geojson:11,Cansarvornem,GA,15.71724,73.87518,71.1,26.02,2.93,3854.7,False
ga.geojson:12,Casnem,GA,15.72713,73.82083,47.9,26.56,2.62,3771.8,False
ga.geojson:13,Tiracol,GA,15.72332,73.68418,25.8,26.71,2.63,3419.8,False
ga.geojson:14,Parcem,GA,15.71548,73.80254,33.8,26.65,2.62,3811.5,False
ga.geojson:15,Querim,GA,15.71708,73.69805,14.9,26.78,2.63,3454.3,False
ga.geojson:16,Paliem,GA,15.70562,73.71578,49.6,26.55,2.62,3611.5,False
ga.geojson:17,Ibrampur,GA,15.71057,73.93364,40.1,26.22,2.95,3770.4,False
ga.geojson:18,Ozorim,GA,15.69719,73.86651,36.6,26.63,2.62,3670.7,False
ga.geojson:19,Dargalim,GA,15.68095,73.83522,22.4,26.73,2.63,3573.8,False
ga.geojson:20,Mencurem,GA,15.6909,73.89697,33.2,26.26,2.95,3674.1,False
ga.geojson:21,Salem,GA,15.68799,73.94356,24.4,26.32,2.95,3773.3,False
ga.geojson:22,Virnora,GA,15.68782,73.81734,46.8,26.57,2.62,3660.7,False
ga.geojson:23,Arambol,GA,15.69034,73.72089,34.8,26.65,2.62,3578.3,False
ga.geojson:24,Dumacem,GA,15.68175,73.90732,77.8,25.97,2.93,3779.0,False
ga.geojson:25,Tuem,GA,15.67344,73.80323,23.4,26.72,2.63,3616.6,False
ga.geojson:26,Mandrem,GA,15.66759,73.74399,38.9,26.62,2.62,3541.6,False
ga.geojson:27,Pernem,GA,15.66926,73.77461,32.4,26.66,2.62,3595.8,False
ga.geojson:28,Latambarcem,GA,15.64977,73.93553,47.5,26.17,2.94,3747.7,False
ga.geojson:29,Pirna,GA,15.66511,73.89169,43.4,26.2,2.94,3738.1,False
ga.geojson:30,Nadora,GA,15.66906,73.86609,43.1,26.59,2.62,3670.0,False
ga.geojson:31,Surla,GA,15.65018,74.19118,512.4,23.22,2.66,5792.5,False
ga.geojson:32,Revora,GA,15.65284,73.85391,24.7,26.71,2.63,3598.2,False
ga.geojson:33,Satrem,GA,15.63939,74.22829,400.3,23.95,2.7,5228.7,False
ga.geojson:34,Adwalpale,GA,15.64669,73.89781,41.5,26.21,2.94,3820.1,False
ga.geojson:35,Golauli,GA,15.63823,74.16765,347.9,24.29,2.73,5533.1,False
ga.geojson:36,Colvale,GA,15.6348,73.82725,25.6,26.71,2.62,3513.1,False
ga.geojson:37,Tivim,GA,15.62633,73.85755,26.1,26.7,2.62,3536.5,False
ga.geojson:38,Camurlim,GA,15.64063,73.79535,30.8,26.67,2.62,3568.1,False
ga.geojson:39,Morgim,GA,15.63484,73.73692,28.4,26.69,2.62,3533.1,False
ga.geojson:40,Agarvado,GA,15.64682,73.76433,10.8,26.8,2.63,3564.4,False
ga.geojson:41,Choraundem,GA,15.63543,74.12773,287.2,24.69,2.75,5281.2,False
ga.geojson:42,Ivrem-Curdo,GA,15.63391,74.15547,251.4,24.92,2.77,4995.0,False
ga.geojson:43,Ivrem-Buzruco,GA,15.63412,74.1411,212.0,25.18,2.78,4926.5,False
ga.geojson:44,Chopdem,GA,15.64045,73.75437,27.0,26.7,2.62,3548.1,False
ga.geojson:45,Quelaudem,GA,15.63499,74.10265,251.9,24.84,2.85,4965.8,False
ga.geojson:46,Ponsuli,GA,15.62922,74.11489,244.0,24.89,2.86,5016.7,False
ga.geojson:47,Oxel,GA,15.63416,73.77973,11.0,26.8,2.63,3501.2,False
ga.geojson:48,Anjunem,GA,15.62784,74.08874,160.9,25.43,2.89,4563.6,False
ga.geojson:49,Sircaim,GA,15.62398,73.87887,36.9,26.14,2.73,3638.0,False
ga.geojson:50,Siolim,GA,15.62407,73.7831,28.6,26.65,2.44,3510.5,False
ga.geojson:51,Rivem,GA,15.61948,74.17577,236.9,24.56,2.54,6010.9,False
ga.geojson:52,Moitem,GA,15.63124,73.90656,44.1,26.19,2.94,3697.1,False
ga.geojson:53,Assonora,GA,15.62253,73.89626,44.0,26.09,2.72,3680.8,False
ga.geojson:54,Siroli,GA,15.62364,74.07075,132.1,25.52,2.69,4355.7,False
ga.geojson:55,Mulgao,GA,15.61795,73.92168,43.9,26.09,2.72,3666.3,False
ga.geojson:56,Assagao,GA,15.60563,73.77322,36.3,26.6,2.44,3544.9,False
ga.geojson:57,Codal,GA,15.60397,74.19881,169.2,25.01,2.57,4934.7,False
ga.geojson:58,Maulinguem North,GA,15.61127,73.97654,58.4,26.0,2.72,3917.0,False
ga.geojson:59,Derodem,GA,15.60545,74.23947,375.3,23.67,2.49,4022.6,False
ga.geojson:60,Mapusa,GA,15.59978,73.81278,26.5,26.66,2.44,3534.3,False
ga.geojson:61,Gululem,GA,15.60983,74.1053,275.0,24.59,2.63,5309.6,False
ga.geojson:62,Ravona,GA,15.60727,74.04436,41.5,26.11,2.72,3885.9,False
ga.geojson:63,Gonteli,GA,15.61239,74.06813,57.6,26.01,2.72,4179.2,False
ga.geojson:64,Ona,GA,15.61587,73.95415,62.7,25.97,2.72,3847.3,False
ga.geojson:65,Dongurli,GA,15.60803,74.14514,105.5,25.42,2.59,5495.2,False
ga.geojson:66,Bicholim,GA,15.59584,73.94991,31.8,26.17,2.73,3761.8,False
ga.geojson:67,Marna,GA,15.61361,73.78652,38.0,26.59,2.44,3539.7,False
ga.geojson:68,Sirigao,GA,15.60996,73.90193,42.1,26.11,2.72,3612.3,False
ga.geojson:69,Querim,GA,15.6025,74.07874,268.3,24.64,2.63,4895.6,False
ga.geojson:70,Aldona,GA,15.58747,73.87169,12.1,26.76,2.45,3535.3,False
ga.geojson:71,Corjuem,GA,15.59207,73.88587,7.4,26.33,2.74,3526.3,False
