id,name,latitude,longitude,elevation,x_cross_km,zone,mean_jjas_mm,std_jjas_mm,n_usable_seasons,span_years,elev_srtm_m
IN009120100,KARWAR,14.783,74.133,4.0,-41.10091145307835,Coast,2833.1,549.9,73,124,12.0
IN009120200,ANKOLA,14.67,74.3,13.0,-29.30676059548453,Coast,3060.1,587.1,69,70,10.0
IN009120300,KUMTA,14.42,74.42,220.0,-21.53916996733855,Coast,3372.5,697.0,70,70,15.0
IN009120400,HONAVAR,14.283,74.45,9.0,-15.018468759304715,Coast,3402.7,600.6,49,87,30.0
IN009130500,BAINDUR,13.87,74.63,36.0,-13.136511601171875,Coast,3821.9,707.8,70,70,11.0
IN009120101,BHATKAL,13.98,74.55,2.0,-11.817675609547612,Coast,3587.5,647.8,70,70,10.0
IN009181800,AGUMBE,13.53,75.08,654.0,-0.0041691525252615,Escarpment,7061.1,1233.2,15,19,682.0
IN009183600,AGUMBE          OBSY SR,13.5,75.1,659.0,2.237193955693271,Escarpment,6762.0,1447.8,9,9,691.0
IN009063400,KOTTIGEHAR TOLL,13.08,75.5,945.0,4.8137506900080345,Escarpment,4448.3,1816.1,17,19,673.0
IN009181600,HULIKAL,13.73,75.02,562.0,5.099007159336868,Escarpment,7019.0,1908.3,18,19,573.0
IN009181101,JOG PT.COLONY,14.17,74.75,685.0,6.117745814391522,Escarpment,4322.3,747.1,14,19,711.0
IN009060801,MUDIGERE,13.13,75.63,995.0,20.16995516977975,Near-Lee,1879.4,475.6,70,70,996.0
IN009180400,THIRTHAHALLI,13.68,75.23,582.0,20.6042906774148,Near-Lee,2692.3,549.3,69,70,616.0
IN009061000,SRINGERI,13.42,75.25,743.0,20.765810516983706,Near-Lee,3360.7,705.2,70,70,659.0
IN009181501,HOSANAGAR,13.92,75.05,567.0,25.26917885266469,Near-Lee,2545.3,673.8,69,70,586.0
IN009181200,SAGAR,14.17,75.03,571.0,43.90802670780534,Near-Lee,1800.0,422.9,70,70,581.0
IN012131800,KOLHAPUR,16.7,74.233,570.0,46.06216713597309,Near-Lee,797.8,232.3,63,125,552.0
IN009060500,CHICKMAGALUR,13.33,75.77,1018.0,55.05367874393607,Near-Lee,476.1,167.4,70,70,1051.0
IN009180200,SHIMOGA,13.93,75.63,587.0,73.7841695231321,Far-Lee,522.5,126.4,50,50,599.0
IN009070100,CHITRADURGA,14.233,76.433,733.0,167.2455313535365,Far-Lee,318.1,108.3,70,124,704.0
