village_id,latitude,longitude,elevation,x_cross_km,downscaled_jjas_rainfall_mm,inside_validated_band
ga.geojson:0,15.77767,73.85729,33.3,-20.97,3819.9,False
ga.geojson:1,15.75381,73.86046,99.0,-23.4,4070.5,False
ga.geojson:2,15.75922,73.83956,16.9,-24.31,3786.7,False
ga.geojson:3,15.7489,73.8406,69.5,-25.42,4003.0,False
ga.geojson:4,15.73751,73.88853,88.2,-23.43,4096.8,False
ga.geojson:5,15.72145,73.91233,42.0,-23.8,3893.1,False
ga.geojson:6,15.72425,73.8461,88.4,-28.05,3894.3,False
ga.geojson:7,15.73785,73.83126,61.3,-27.41,3864.4,False
ga.geojson:8,15.73412,73.81483,13.2,-29.03,3699.7,False
ga.geojson:9,15.71102,73.80394,78.4,-32.66,3833.7,False
ga.geojson:10,15.70041,73.76046,40.7,-37.02,3614.8,False
ga.geojson:11,15.71724,73.87518,71.1,-26.92,3854.7,False
ga.geojson:12,15.72713,73.82083,47.9,-29.46,3771.8,False
ga.geojson:13,15.72332,73.68418,25.8,-40.01,3419.8,False
ga.geojson:14,15.71548,73.80254,33.8,-32.19,3811.5,False
ga.geojson:15,15.71708,73.69805,14.9,-39.59,3454.3,False
ga.geojson:16,15.70562,73.71578,49.6,-39.56,3611.5,False
ga.geojson:17,15.71057,73.93364,40.1,-23.61,3770.4,False
ga.geojson:18,15.69719,73.86651,36.6,-30.02,3670.7,False
ga.geojson:19,15.68095,73.83522,22.4,-34.22,3573.8,False
ga.geojson:20,15.6909,73.89697,33.2,-28.57,3674.1,False
ga.geojson:21,15.68799,73.94356,24.4,-25.3,3773.3,False
ga.geojson:22,15.68782,73.81734,46.8,-34.65,3660.7,False
ga.geojson:23,15.69034,73.72089,34.8,-41.05,3578.3,False
ga.geojson:24,15.68175,73.90732,77.8,-28.78,3779.0,False
ga.geojson:25,15.67344,73.80323,23.4,-37.42,3616.6,False
ga.geojson:26,15.66759,73.74399,38.9,-42.31,3541.6,False
ga.geojson:27,15.66926,73.77461,32.4,-39.95,3595.8,False
ga.geojson:28,15.64977,73.93553,47.5,-28.41,3747.7,False
ga.geojson:29,15.66511,73.89169,43.4,-31.63,3738.1,False
ga.geojson:30,15.66906,73.86609,43.1,-33.29,3670.0,False
ga.geojson:31,15.65018,74.19118,512.4,0.62,5792.5,False
ga.geojson:32,15.65284,73.85391,24.7,-35.84,3598.2,False
ga.geojson:33,15.63939,74.22829,400.3,3.68,5228.7,False
ga.geojson:34,15.64669,73.89781,41.5,-32.35,3820.1,False
ga.geojson:35,15.63823,74.16765,347.9,-2.22,5533.1,False
ga.geojson:36,15.6348,73.82725,25.6,-39.6,3513.1,False
ga.geojson:37,15.62633,73.85755,26.1,-37.18,3536.5,False
ga.geojson:38,15.64063,73.79535,30.8,-41.71,3568.1,False
ga.geojson:39,15.63484,73.73692,28.4,-46.77,3533.1,False
ga.geojson:40,15.64682,73.76433,10.8,-43.38,3564.4,False
ga.geojson:41,15.63543,74.12773,287.2,-6.32,5281.2,False
ga.geojson:42,15.63391,74.15547,251.4,-3.6,4995.0,False
ga.geojson:43,15.63412,74.1411,212.0,-5.02,4926.5,False
ga.geojson:44,15.64045,73.75437,27.0,-44.85,3548.1,False
ga.geojson:45,15.63499,74.10265,251.9,-8.93,4965.8,False
ga.geojson:46,15.62922,74.11489,244.0,-7.84,5016.7,False
ga.geojson:47,15.63416,73.77973,11.0,-43.59,3501.2,False
ga.geojson:48,15.62784,74.08874,160.9,-10.57,4563.6,False
